"D.345.Cirrhosis","D.334.Cirrhosis","D.520.Cirrhosis","D.451.Cirrhosis","D.473.Cirrhosis","D.464.Cirrhosis","D.507.Cirrhosis","D.514.Cirrhosis","D.569.Cirrhosis","D.588.Cirrhosis","D.605.Cirrhosis","D.607.Cirrhosis","D.541.Cirrhosis","D.524.Cirrhosis","D.614.Cirrhosis","D.513.Cirrhosis","D.606.Cirrhosis","D.527.Cirrhosis","D.388.Cirrhosis","D.309.Cirrhosis","D.128.Cirrhosis.non.HCC","D.123.Cirrhosis.non.HCC","D.122.Cirrhosis.non.HCC","D.138.Cirrhosis.non.HCC","D.127.Cirrhosis.non.HCC","D.109.Cirrhosis.non.HCC","D.114.Cirrhosis.non.HCC","D.111.Cirrhosis.non.HCC","D.108.Cirrhosis.non.HCC","D.130.Cirrhosis.non.HCC","D.134.Cirrhosis.non.HCC","D.129.Cirrhosis.non.HCC","D.125.Cirrhosis.non.HCC","D.116.Cirrhosis.non.HCC","D.131.Cirrhosis.non.HCC","D.132.Cirrhosis.non.HCC"
"ACVR1_E328_R_01",0.790115345129537,0.799302532929845,0.680115441146906,0.816754849160601,0.726232741617357,0.759498593140689,0.740105706351339,0.780698014607708,0.761527629133104,0.360122699386503,0.793531539248578,0.7861799975305,0.799679597840047,0.762033690502037,0.734476074053434,0.836930444082592,0.384091536550201,0.806088277254467,0.845029542863066,0.754829129373474,0.758296790910903,0.773809928802274,0.766860023351063,0.771865107045125,0.749890316515199,0.724539360907827,0.741514126605587,0.826872652540571,0.765216188443601,0.746317076228686,0.741928086589617,0.798839741008527,0.772427053366993,0.853986067550975,0.774453020178806,0.790970278778148
"ACVR1_P983_F_01",0.754821697790218,0.784331493852261,0.694917931786228,0.865140393145842,0.705432329792504,0.815105231255022,0.706996261619029,0.789359285587282,0.822005981065125,0.605949720402467,0.777514227785476,0.839608298219594,0.729833736109793,0.812199807877041,0.719987270126546,0.877121723191722,0.83665278710544,0.73545435323439,0.841793530046757,0.7199340672154,0.704282834133464,0.805517516358173,0.802858896526446,0.83188663307215,0.712389718276711,0.737439289610272,0.823914553704818,0.8148837854875,0.849193679639588,0.815530562047744,0.864956801202054,0.805656268212632,0.807073157773567,0.868428164366416,0.822251698114843,0.839876961570228
"ACVR1B_E497_R_01",0.90803164519502,0.868346724435791,0.816018856880705,0.895811629470341,0.831945416740677,0.880663750680557,0.84534441356609,0.909223566307136,0.89919345214599,0.879198637924434,0.928754808443437,0.925158413023079,0.86621733209712,0.940599837657529,0.874969988216912,0.943781434217739,0.926441720718126,0.905238077192717,0.836498725635685,0.903646693981031,0.888338535019775,0.883712551434453,0.91807267659985,0.932104445340086,0.832143700394123,0.888579579441403,0.919103122192341,0.926757008137829,0.927109725852939,0.860242066420664,0.935489054502522,0.876257068685015,0.803367960533299,0.924717368641185,0.940807962184338,0.923872053396501
"ACVR1B_P572_R_01",0.886167396836892,0.83300189184696,0.833483972995056,0.886710378737808,0.861360709225948,0.855642456598642,0.852719005196733,0.869111479808839,0.848168472819182,0.841654180327157,0.862182150281166,0.885151371848005,0.867547701680736,0.893600720368526,0.837494042850914,0.882507084428394,0.877015366797954,0.869497948724118,0.841203067804066,0.877332190298492,0.874242759003396,0.87515102808439,0.872345220964302,0.878781146592145,0.87017588055741,0.86733448377457,0.879126881329645,0.874984041159987,0.873019688231272,0.859961696694567,0.888535496833636,0.881475469723067,0.87799010354579,0.880352063554384,0.901140210397108,0.889008411109484
"ACVR1C_P115_R_01",0.0782498418342079,0.0655616910211111,0.0857697153943079,0.0978330201527402,0.0486567816771904,0.091194982580884,0.0508038848674019,0.101959420618981,0.069030769919828,0.111759987265242,0.0784685326474123,0.112736555248698,0.069604301924484,0.0903724361761826,0.0736187773153872,0.0563514873874794,0.0828486070771331,0.0714117772045902,0.145246514186816,0.103609430611115,0.11153149249147,0.052956990214743,0.0961726583516752,0.0760561427485584,0.0782082149096388,0.0569513908032397,0.0883461167949078,0.0917362548351335,0.059875956815245,0.0838208171624481,0.10072535975504,0.0829469885043719,0.0932543398196542,0.0759193253681223,0.0701504839850902,0.118428675549908
"ACVR1C_P363_F_01",0.846109897805914,0.647533771543916,0.759403497738323,0.882576741485477,0.69562740492729,0.678955789473684,0.765414702881298,0.84681202909726,0.807702107523751,0.776007841199767,0.795129285541923,0.800027959093695,0.78234669453528,0.854874110026588,0.779817822427812,0.915679654638034,0.821539525898079,0.853435788032027,0.785120292887029,0.678933213805468,0.853757767847183,0.817459648175946,0.856863580710406,0.880417570376819,0.838486118313175,0.909179981526748,0.865195102208631,0.877912032821436,0.896003349517772,0.864300277415689,0.795871631583901,0.89021137579887,0.906481896051849,0.846092699366796,0.903564712850563,0.898423568860005
"ACVR2B_E27_R_01",0.415155753543161,0.634348798865586,0.730975109164291,0.813626959012864,0.713269859913405,0.763693279841269,0.666792473546244,0.67487509688655,0.7519007364592,0.456482199506521,0.713214582355278,0.663498226978804,0.731528309112372,0.74351050411973,0.626510488655355,0.671211309842562,0.769345766404142,0.665825266298879,0.662940334143884,0.615322346337069,0.309055477741916,0.787110453546162,0.727639946430948,0.672363321831261,0.410169035555755,0.421153728637484,0.805613817426216,0.792657999567374,0.608386407797808,0.744591330782919,0.790579240581198,0.703647430365569,0.775188107909708,0.804970721107,0.714018771215404,0.743564472441813
"ACVR2B_P676_F_01",0.132633114008437,0.0651935776658008,0.0924126448937707,0.0914627110126747,0.0917346981349874,0.0911226971271347,0.105582208337982,0.0692656377876144,0.0595799019810702,0.0778284342583846,0.107107179394596,0.12367255495862,0.134700486579303,0.0955680731917877,0.10903186574135,0.192532212426067,0.0812142309280784,0.121020037896612,0.125911457377206,0.0535708205652026,0.148615292603067,0.142643455767148,0.114648791554671,0.0973570181062499,0.0746462099842,0.0919638076146801,0.0888671263907488,0.0868310015545192,0.064018579198229,0.093955651335564,0.125262644686596,0.0846731462137039,0.152473728986184,0.0831304842446904,0.10139887819996,0.107936262774474
"ADAMTS12_E52_R_01",0.950565905402092,0.949668785745547,0.954973642697146,0.95199224649375,0.966438768302361,0.96489214411153,0.965014638667144,0.968120107742647,0.963771396128557,0.96678387447896,0.957407289324774,0.959087516327673,0.967416046835626,0.972251085286637,0.943232921409616,0.957816431824064,0.970749991959464,0.966948216387414,0.965370975592796,0.961051835791516,0.9605574799265,0.955809474967686,0.951544269045985,0.945090484205255,0.961868268206722,0.956742254401117,0.965012543596647,0.971392048228058,0.961142508905446,0.963904982289363,0.945007517273297,0.961650573481656,0.96466626559049,0.9661438180186,0.960156513304453,0.94671527134715
"ADAMTS12_P250_R_01",0.916395844474753,0.916381267994327,0.925980590376061,0.89085704568643,0.933483526468428,0.945417758771325,0.918755104012083,0.925369156022867,0.930447616200867,0.929744189607927,0.90567907645349,0.887931004527654,0.925367964191837,0.932039914283195,0.896323447372445,0.91722568703505,0.930447104835112,0.908690407959007,0.898754072746775,0.919148420885333,0.928294230049445,0.917305266265836,0.907797571308292,0.902051353664257,0.918717340514705,0.935731139761958,0.911547320292894,0.913541168140206,0.876424374041901,0.92011395637744,0.887297713102523,0.911596590856397,0.907771492589396,0.911492737465542,0.923432774510858,0.920221157444435
"ADCYAP1_E163_R_01",0.0599403692426211,0.0503666661735044,0.0541009949058087,0.0618953544568894,0.0549790065752991,0.0814070850637854,0.0606916144755859,0.0520187008483497,0.0591532427091443,0.0649331128814069,0.0584155927246138,0.0582610657175798,0.0690638759244075,0.0537599502702329,0.084899116212274,0.0592937407056027,0.0612661825772212,0.0773274370781863,0.0825689546124383,0.053019827594032,0.073520541518665,0.0971517293701811,0.0760280898651862,0.0722461859545924,0.060847356691613,0.064160008961398,0.0745685819476191,0.0623060761642387,0.0793803773392223,0.0684603507306266,0.0660276477030675,0.0760096891623141,0.0711512110180045,0.0617639585496807,0.0678344646376177,0.0837973487968546
"ADCYAP1_P398_F_01",0.385506503856773,0.441282232369574,0.523048281861679,0.487793055109754,0.549431228791955,0.513170381796657,0.574790122737324,0.536778853573964,0.614805165074157,0.593061463987091,0.519004966234076,0.476620512901477,0.558704214490039,0.577824221012591,0.445526002126129,0.483520532477566,0.587249886701162,0.432590804432866,0.43872093135318,0.478807073788717,0.490060738142522,0.542640988151605,0.485025682260039,0.560070085270412,0.504892065658561,0.57860413640451,0.514607438393395,0.509757818010816,0.0497585263147044,0.447473754296863,0.599691989909699,0.510593715636446,0.41588668005071,0.516907101411941,0.50749998222753,0.552225550128025
"ADCYAP1_P455_R_01",0.261373989614516,0.176509824510065,0.20337127639887,0.310686415267563,0.19390525414132,0.286112772598033,0.187965500658787,0.262408849306282,0.273689860635385,0.262569502882354,0.224268840679277,0.333548700373615,0.281993073691621,0.154818232406952,0.204275577329329,0.122498206425843,0.330655967639932,0.199946451183006,0.205471420569652,0.168098810998709,0.240864694955094,0.164691378459133,0.233319911415341,0.385859602056785,0.106108944818622,0.227804273378574,0.212172304736796,0.24854010610788,0.217860011834828,0.189572550940541,0.346137029874966,0.256241469488117,0.184435574045964,0.184129045683349,0.222202795425667,0.329933235464511
"AFF3_P122_F_01",0.686714696517077,0.530586770675372,0.578343621503321,0.636952989571956,0.582239490410563,0.725583848938124,0.440326050337926,0.587867642258833,0.639607304682136,0.52096737308415,0.524454802677754,0.647480569836077,0.496750048860534,0.580925308054589,0.650951799138204,0.572262830592268,0.511059462711329,0.596418655138373,0.543919835487384,0.505082325798358,0.418401535255781,0.467946380058503,0.540137472209809,0.712512286473274,0.432062913422683,0.483056138611937,0.606622143525847,0.547305601627267,0.643910497071632,0.519222147614247,0.678765471172428,0.709102489944263,0.482608623588625,0.492026003819689,0.606701948543778,0.676106387881581
"AFF3_P808_F_01",0.14290192506946,0.110444718245659,0.139599612751539,0.184340065981535,0.205624509665869,0.158288692162035,0.141563764582014,0.152094813988079,0.246373084172874,0.178066439831978,0.164701813710421,0.243320577791568,0.172208683973963,0.279950748722637,0.166550518312033,0.223288972729589,0.212113383154557,0.232816715375443,0.13159707464349,0.118911452244786,0.137092493549774,0.277348179846372,0.188564652537348,0.207455813320953,0.153727316167092,0.236665392804499,0.116210388861052,0.215331650933109,0.238943186762251,0.118829340668027,0.12840089414151,0.186364285668599,0.169457558463301,0.226583524557944,0.156881425265084,0.289527508090615
"AFP_P824_F_01",0.665715100298263,0.320617200554627,0.608785812518451,0.63699396738021,0.648548010871194,0.74114409037417,0.636138449176787,0.679211183755913,0.686147907711203,0.631850223603426,0.663929433062248,0.794099824478311,0.724157897715647,0.839295902428987,0.575648011644615,0.592938644620351,0.767510317162564,0.7984613926664,0.741935713776637,0.717077535741853,0.824002758937809,0.740307949489073,0.641879854213486,0.715334044429858,0.713610426327857,0.69028037159412,0.598176454425822,0.718010083216911,0.806955916186984,0.666617758866762,0.771028502828265,0.794309925787292,0.648871276772289,0.682947695425435,0.779143394616399,0.793060951272764
"AGTR1_P154_F_01",0.290618984450584,0.0906066922443714,0.193739357428618,0.236474278116797,0.198477178433369,0.218192323879862,0.184900287105037,0.196485491142295,0.214074970256885,0.149419061434957,0.207456785990341,0.316265173479114,0.239878555208451,0.273073449304268,0.167854965820525,0.323094796344783,0.273535065007259,0.25364586224892,0.283475509477875,0.190175252145052,0.195545110344239,0.223331515318704,0.218923272502909,0.318162950664137,0.169385028531778,0.119155221244328,0.220272241851602,0.198200886549242,0.247024070790245,0.27635971965712,0.292648089672343,0.358180792741086,0.205462826000064,0.187615693710777,0.340799682226166,0.300089768186859
"AGTR1_P41_F_01",0.87870790191965,0.887773835412613,0.926915269116114,0.866525613566533,0.839238939301445,0.88083805691513,0.865042402622604,0.830417896159136,0.888560817084494,0.873372936140474,0.903637902473253,0.879652189338944,0.850831908043664,0.901768092609316,0.920034219940893,0.956750499842155,0.867385704163015,0.885051069372087,0.926848220232369,0.892153410828607,0.942096006267565,0.844029281154593,0.855831754681653,0.882584723216088,0.911635700142987,0.91288968256067,0.838031368934636,0.856584098499718,0.864821431093161,0.817252530823887,0.883619054098966,0.872725668968061,0.851206128998861,0.864510064590635,0.9061415143302,0.91996947782807
"AGXT_E115_R_01",0.111873082131365,0.0634799913805123,0.0860194983896032,0.140641599549627,0.0711229508806655,0.0604913403953024,0.05775243962877,0.082263133284762,0.108464087715711,0.0699755129722556,0.125490802613864,0.0998476127617033,0.0696904334185158,0.102278100848648,0.0802639388332228,0.0717019901569258,0.183609689746745,0.105935677842566,0.0736521238075591,0.072222530578382,0.0732517423809945,0.14413871062107,0.112336682815481,0.0838330896412102,0.0622596321381731,0.121358559168558,0.145527127563056,0.127426936439812,0.0644378188678919,0.0823629787523527,0.0868703214501964,0.12574711676067,0.0699852778103676,0.10689982394586,0.108253840465068,0.179169834270944
"AGXT_P180_F_01",0.35861232809134,0.265413019370974,0.325837849084662,0.307828267749448,0.412586888937089,0.413644519113813,0.354412680428825,0.303372891233435,0.392479899965997,0.350130549309843,0.244739312098825,0.224544561510019,0.346732905680232,0.360188278769135,0.310383205994659,0.191492723520098,0.389356796233587,0.309683051103045,0.30246117319872,0.289512373103256,0.371939567839074,0.228702050913616,0.340461807022276,0.31160386328124,0.307900104164939,0.304616971885478,0.245305145549816,0.353843205509233,0.245909541102674,0.260548441501655,0.281014555638831,0.334231247886527,0.344494484546793,0.336229991169028,0.277418416671681,0.229567712516517
